id_local,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
76,Parking de covoiturage Perpignan Sud,A9 Sortie 42 Perpignan Sud,Perpignan,66136,Aire de covoiturage,2026-03-24,true,512377060,2.8576067,42.670612,108,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, borne de recharge pour véhicules électriques, )"
83,Parking de covoiturage Ambarès,A10 Sortie 42 Ambarès,Ambarès-et-Lagrave,33003,Aire de covoiturage,2026-03-24,true,512377060,-0.468386,44.927355,70,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
84,Parking de covoiturage Saint-Vincent-de-Paul,A10 Sortie 41 Ambes,Saint-Vincent-de-Paul,33487,Aire de covoiturage,2026-03-24,true,512377060,-0.465030,44.956812,45,1,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
86,Parking de covoiturage Saint-Aubin-de-Blaye,A10 Sortie 38 Saint-Aubin-de-Blaye,Reignac,33351,Aire de covoiturage,2026-03-24,true,512377060,-0.549079,45.255135,60,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
105,Parking de covoiturage Vouillé,A10 Sortie 32 Limoges-Niort,Vouillé,79355,Aire de covoiturage,2026-03-24,true,512377060,-0.373377,46.311714,40,1,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, station vélo, arrêt de transport collectif )"
107,Parking de covoiturage Montaigu,A83 Sortie 4 Montaigu,Montaigu-Vendée,85146,Aire de covoiturage,2026-03-24,true,512377060,-1.353958,46.957632,100,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, )"
126,Parking de covoiturage Avignon Nord,A7 Sortie 23 Avignon Nord,Vedène,84141,Aire de covoiturage,2026-03-24,true,512377060,4.887514,43.982953,114,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, station vélo, )"
131,Parking de covoiturage Gallargues,A9 Sortie 26 Gallargues,Gallargues-le-Montueux,30123,Aire de covoiturage,2026-03-24,true,512377060,4.180311,43.717951,98,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
133,Parking de covoiturage Grans,A54 Sortie 14 Grans,Salon-de-Provence,13103,Aire de covoiturage,2026-03-24,true,512377060,5.085574,43.623455,70,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
134,Parking de covoiturage Lunel,A9 Sortie 27 Lunel,Saturargues,34294,Aire de covoiturage,2026-03-24,true,512377060,4.1215533,43.7027494,71,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
136,Parking de covoiturage Nîmes Est,A9 Sortie 24 Nîmes Est,Nîmes,30189,Aire de covoiturage,2026-03-24,true,512377060,4.418366,43.857835,56,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, )"
138,Parking de covoiturage Orange Centre,A7 Sortie 21 Orange Centre,Orange,84087,Aire de covoiturage,2026-03-24,true,512377060,4.795676,44.134309,84,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
151,Parking de covoiturage Balbigny,A89 Sortie 33 Balbigny,Balbigny,42011,Aire de covoiturage,2026-03-24,true,512377060,4.164979,45.842679,100,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
152,Parking de covoiturage Chanas,A7 Sortie 12 St-Rambert-d'Albon,Chanas,38072,Aire de covoiturage,2026-03-24,true,512377060,4.810342,45.320865,114,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
154,Parking de covoiturage Communay,A46S Sortie 16 Communay,Communay,69272,Aire de covoiturage,2026-03-24,true,512377060,4.852961,45.596751,80,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
161,Parking de covoiturage Loriol,A7 Sortie 16 Loriol,Loriol-sur-Drôme,26166,Aire de covoiturage,2026-03-24,true,512377060,4.791128,44.754946,90,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
164,Parking de covoiturage Montélimar Nord,A7 Sortie 17 Montélimar Nord,Les Tourrettes,26353,Aire de covoiturage,2026-03-24,true,512377060,4.794638,44.667635,80,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
165,Parking de covoiturage Montélimar-Sud,A7 Sortie 18 Montélimar-Sud,Malataverne,26169,Aire de covoiturage,2026-03-24,true,512377060,4.763099,44.480429,100,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
